street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Đỗ Bá,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,140.0,1,9,9,5,17.5,1
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,75.0,1,5,4,3,9.899,1
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,280.0,1,3,3,3,89.0,1
Hùng Vương,Hải Châu 1,Hải Châu,Đà Nẵng,118.0,1,5,4,3,58.999,1
Duy Tân,Hòa Thuận Tây,Hải Châu,Đà Nẵng,133.0,1,2,3,3,16.0,1
Nguyễn Trãi,Hải Châu 11,Hải Châu,Đà Nẵng,83.0,1,4,3,5,15.3,1
Nguyễn Tri Phương,Thạc Gián,Thanh Khê,Đà Nẵng,282.0,1,10,10,3,42.0,1
Phạm Văn Nghị,Vĩnh Trung,Thanh Khê,Đà Nẵng,110.0,1,4,4,2,10.5,1
Trần Phước Thành,Khuê Trung,Cẩm Lệ,Đà Nẵng,156.0,1,4,4,3,12.5,1
Lý Triện,An Khê,Thanh Khê,Đà Nẵng,125.0,1,2,3,2,10.9,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,106.0,1,2,2,2,14.6,1
Lý Văn Tố,An Hải Bắc,Sơn Trà,Đà Nẵng,170.0,1,33,33,6,25.0,1
Nại Thịnh 1,An Hải Đông,Sơn Trà,Đà Nẵng,55.0,1,3,3,3,4.58,1
Tô Hiến Thành,Phước Mỹ,Sơn Trà,Đà Nẵng,160.0,1,10,11,3,28.0,1
Ngô Thì Nhậm,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,225.0,1,3,4,4,16.0,1
Trần Hữu Trang,Hòa Cường Bắc,Hải Châu,Đà Nẵng,171.0,1,17,17,3,12.6,1
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,147.0,1,8,16,8,47.0,1
Cách Mạng Tháng 8,Khuê Trung,Cẩm Lệ,Đà Nẵng,257.0,1,4,4,2,22.0,1
